name,display_name,display_name_long,code,city,country,code,region
"Bergen","Bergen (BGO)","Bergen, Noruega, Bergen (BGO)","BGO","Bergen","Noruega","BGO",""
"Berlin Brandenburg","Berlin Brandenburg (BER)","Berlín, Alemania, Berlin Brandenburg (BER)","BER","Berlín","Alemania","BER",""
"Berlin-Schönefeld","Berlin-Schönefeld (SXF)","Berlín, Alemania, Berlin-Schönefeld (SXF)","SXF","Berlín","Alemania","SXF",""
"Bermuda","Bermuda (BDA)","Bermudas, Bermudas, Bermuda (BDA)","BDA","Bermudas","Bermudas","BDA",""
"Bern","Bern (BRN)","Berna, Suiza, Bern (BRN)","BRN","Berna","Suiza","BRN",""
"Biarritz-Anglet- Bayonne","Biarritz-Anglet- Bayonne (BIQ)","Biarritz, Francia, Biarritz-Anglet- Bayonne (BIQ)","BIQ","Biarritz","Francia","BIQ",""
"Bilbao","Bilbao (BIO)","Bilbao, España, Bilbao (BIO)","BIO","Bilbao","España","BIO",""
"Billings Logan","Billings Logan (BIL)","Billings, Estados Unidos, Billings Logan (BIL)","BIL","Billings","Estados Unidos","BIL",""
"Billund","Billund (BLL)","Bilund, Dinamarca, Billund (BLL)","BLL","Bilund","Dinamarca","BLL",""
"Greater Binghamton","Greater Binghamton (BGM)","Binghamton, Estados Unidos, Greater Binghamton (BGM)","BGM","Binghamton","Estados Unidos","BGM",""
"Birmingham-Shuttlesworth","Birmingham-Shuttlesworth (BHM)","Birmingham, Estados Unidos, Birmingham-Shuttlesworth (BHM)","BHM","Birmingham","Estados Unidos","BHM",""
"Birmingham","Birmingham (BHX)","Birmingham, Reino Unido, Birmingham (BHX)","BHX","Birmingham","Reino Unido","BHX",""
"Osvaldo Vieira","Osvaldo Vieira (OXB)","Bisáu, Guinea-Bisáu, Osvaldo Vieira (OXB)","OXB","Bisáu","Guinea-Bisáu","OXB",""
"Bismarck Municipal","Bismarck Municipal (BIS)","Bismarck, Estados Unidos, Bismarck Municipal (BIS)","BIS","Bismarck","Estados Unidos","BIS",""
"Blantyre","Blantyre (BLZ)","Blantyre, Malaui, Blantyre (BLZ)","BLZ","Blantyre","Malaui","BLZ",""
"Bloemfontein","Bloemfontein (BFN)","Bloemfontein, Sudáfrica, Bloemfontein (BFN)","BFN","Bloemfontein","Sudáfrica","BFN",""
"Central Illinois Regional","Central Illinois Regional (BMI)","Bloomington, Estados Unidos, Central Illinois Regional (BMI)","BMI","Bloomington","Estados Unidos","BMI",""
"Tri-Cities Regional","Tri-Cities Regional (TRI)","Blountville, Estados Unidos, Tri-Cities Regional (TRI)","TRI","Blountville","Estados Unidos","TRI",""
"Atlas Brasil Cantanhede","Atlas Brasil Cantanhede (BVB)","Boa Vista, Brasil, Atlas Brasil Cantanhede (BVB)","BVB","Boa Vista","Brasil","BVB","Roraima"
"Rabil","Rabil (BVC)","Boa Vista, Cabo Verde, Rabil (BVC)","BVC","Boa Vista","Cabo Verde","BVC",""
"El Dorado","El Dorado (BOG)","Bogotá, Colombia, El Dorado (BOG)","BOG","Bogotá","Colombia","BOG",""
"Boisel","Boisel (BOI)","Boise, Estados Unidos, Boisel (BOI)","BOI","Boise","Estados Unidos","BOI",""
"Guglielmo Marconi","Guglielmo Marconi (BLQ)","Bolonia, Italia, Guglielmo Marconi (BLQ)","BLQ","Bolonia","Italia","BLQ",""
"Bonaire","Bonaire (BON)","Bonaire, Antillas Holandesas, Bonaire (BON)","BON","Bonaire","Antillas Holandesas","BON",""
"Aeroporto de Bonito","Aeroporto de Bonito (BYO)","Bonito, Brasil, Aeroporto de Bonito (BYO)","BYO","Bonito","Brasil","BYO","Matto Grosso del Sur"
"Bordeaux Merignac","Bordeaux Merignac (BOD)","Bordeaux, Francia, Bordeaux Merignac (BOD)","BOD","Bordeaux","Francia","BOD",""
"Logan","Logan (BOS)","Boston, Estados Unidos, Logan (BOS)","BOS","Boston","Estados Unidos","BOS",""
"Bozeman Gallatin Field","Bozeman Gallatin Field (BZN)","Bozeman, Estados Unidos, Bozeman Gallatin Field (BZN)","BZN","Bozeman","Estados Unidos","BZN",""
"Brainerd Lakes Regional","Brainerd Lakes Regional (BRD)","Brainerd, Estados Unidos, Brainerd Lakes Regional (BRD)","BRD","Brainerd","Estados Unidos","BRD",""
"Pres. Juscelino Kubitschek","Pres. Juscelino Kubitschek (BSB)","Brasília, Brasil, Pres. Juscelino Kubitschek (BSB)","BSB","Brasília","Brasil","BSB","Distrito Federal"
"Watertown Municipal","Watertown Municipal (BZV)","Brazzaville, Congo, Watertown Municipal (BZV)","BZV","Brazzaville","Congo","BZV",""
"City Bremen","City Bremen (BRE)","Bremen, Alemania, City Bremen (BRE)","BRE","Bremen","Alemania","BRE",""
"Strachowice","Strachowice (WRO)","Breslávia, Poland, Strachowice (WRO)","WRO","Breslávia","Poland","WRO","PL"
"Brest Bretagne","Brest Bretagne (BES)","Brest, Francia, Brest Bretagne (BES)","BES","Brest","Francia","BES",""
"Orazio Pierozzi di Brindisi-Casale","Orazio Pierozzi di Brindisi-Casale (BDS)","Bríndisi, Italia, Orazio Pierozzi di Brindisi-Casale (BDS)","BDS","Bríndisi","Italia","BDS",""
"Brisbane","Brisbane (BNE)","Brisbane, Australia, Brisbane (BNE)","BNE","Brisbane","Australia","BNE",""
"Bristol","Bristol (BRS)","Bristol, Reino Unido, Bristol (BRS)","BRS","Bristol","Reino Unido","BRS",""
"Brunswick Glynco Jetport","Brunswick Glynco Jetport (BQK)","Brunswick, Estados Unidos, Brunswick Glynco Jetport (BQK)","BQK","Brunswick","Estados Unidos","BQK",""
"Brussels National","Brussels National (BRU)","Bruselas, Bélgica, Brussels National (BRU)","BRU","Bruselas","Bélgica","BRU",""
"Palonegro","Palonegro (BGA)","Bucaramanga, Colombia, Palonegro (BGA)","BGA","Bucaramanga","Colombia","BGA",""
"Bucharest Henri Coanda","Bucharest Henri Coanda (OTP)","Bucarest, Rumania, Bucharest Henri Coanda (OTP)","OTP","Bucarest","Rumania","OTP",""
"Todos los Aeropuertos","Todos los Aeropuertos (BUH)","Bucarest, Rumania, Todos los Aeropuertos (BUH)","BUH","Bucarest","Rumania","BUH",""
"BudapestFerenc Liszt","BudapestFerenc Liszt (BUD)","Budapest, Hungría, BudapestFerenc Liszt (BUD)","BUD","Budapest","Hungría","BUD",""
"Aeroparque Jorge Newbery","Aeroparque Jorge Newbery (AEP)","Buenos Aires, Argentina, Aeroparque Jorge Newbery (AEP)","AEP","Buenos Aires","Argentina","AEP",""
"Ministro Pistarini Ezeiza","Ministro Pistarini Ezeiza (EZE)","Buenos Aires, Argentina, Ministro Pistarini Ezeiza (EZE)","EZE","Buenos Aires","Argentina","EZE",""
"Todos los Aeropuertos","Todos los Aeropuertos (BUE)","Buenos Aires, Argentina, Todos los Aeropuertos (BUE)","BUE","Buenos Aires","Argentina","BUE",""
"Buffalo Niagara","Buffalo Niagara (BUF)","Búfalo, Estados Unidos, Buffalo Niagara (BUF)","BUF","Búfalo","Estados Unidos","BUF",""
"Bujumbura","Bujumbura (BJM)","Bujumbura, Burundi, Bujumbura (BJM)","BJM","Bujumbura","Burundi","BJM",""
"Bulawayo","Bulawayo (BUQ)","Bulawayo, Zimbabue, Bulawayo (BUQ)","BUQ","Bulawayo","Zimbabue","BUQ",""
"Bob Hope","Bob Hope (BUR)","Burbank, Estados Unidos, Bob Hope (BUR)","BUR","Burbank","Estados Unidos","BUR",""
"Burgas","Burgas (BOJ)","Burgas, Bulgaria, Burgas (BOJ)","BOJ","Burgas","Bulgaria","BOJ",""
"Burgos","Burgos (RGS)","Burgos, Espanha, Burgos (RGS)","RGS","Burgos","Espanha","RGS",""
"Burlington","Burlington (BTV)","Burlington, Estados Unidos, Burlington (BTV)","BTV","Burlington","Estados Unidos","BTV",""
"Gimhae","Gimhae (PUS)","Busan, Corea del Sur, Gimhae (PUS)","PUS","Busan","Corea del Sur","PUS",""
"Bert Mooney","Bert Mooney (BTM)","Butte, Estados Unidos, Bert Mooney (BTM)","BTM","Butte","Estados Unidos","BTM",""
"Aeroporto Umberto Modiano","Aeroporto Umberto Modiano (BZC)","Búzios, Brasil, Aeroporto Umberto Modiano (BZC)","BZC","Búzios","Brasil","BZC","Rio de Janeiro"
"Cabinda","Cabinda (CAB)","Cabinda,  Angola, Cabinda (CAB)","CAB","Cabinda"," Angola","CAB",""
"CaenCarpiquet","CaenCarpiquet (CFR)","Caen, Francia, CaenCarpiquet (CFR)","CFR","Caen","Francia","CFR",""
"Mario Mameli di Cagliari-Elmas","Mario Mameli di Cagliari-Elmas (CAG)","Cagliari, Italia, Mario Mameli di Cagliari-Elmas (CAG)","CAG","Cagliari","Italia","CAG",""
"El Loa","El Loa (CJC)","Calama, Chile, El Loa (CJC)","CJC","Calama","Chile","CJC",""
"Netaji Subhash Chandra Bose","Netaji Subhash Chandra Bose (CCU)","Calcuta, India, Netaji Subhash Chandra Bose (CCU)","CCU","Calcuta","India","CCU",""
"Caldas Novas","Caldas Novas (CLV)","Caldas Novas, Brasil, Caldas Novas (CLV)","CLV","Caldas Novas","Brasil","CLV","Goiás"
